score,feature
score_0,K02777
score_0,K14540
score_0,K02073
score_0,K19091
score_0,K06206
score_0,K01486
score_0,K19954
score_0,K04029
score_0,K03624
score_0,K11527
score_0,K06163
score_0,K10697
score_0,K02411
score_0,K02203
score_0,K15974
score_0,K21399
score_0,K07727
score_0,K01580
score_0,K03612
score_0,K00564
score_0,K01235
score_0,K14977
score_0,K12940
score_0,K21903
score_0,K07670
score_0,K03394
score_0,K15876
score_0,K02864
score_0,K18692
score_0,K01953
score_0,K02003
score_0,K02867
score_0,K07318
score_0,K01161
score_0,K01142
score_0,K07004
score_0,K12942
score_0,K19271
score_0,K08151
score_0,K01788
score_0,K04096
score_0,K03706
score_0,K06895
score_0,K12554
score_0,K16960
score_0,K02396
score_0,K13252
score_0,K14058
score_0,K01754
score_0,K17235
score_0,K17331
score_0,K00245
score_0,K06878
score_0,K16014
score_0,K03095
score_0,K02488
score_0,K18675
score_0,K13920
score_0,K03930
score_0,K18829
score_0,K15555
score_0,K19005
score_0,K12999
score_0,K01448
score_0,K07224
score_0,K11614
score_0,K09471
score_0,K01699
score_0,K01778
score_0,K01697
score_0,K06384
score_0,K02663
score_0,K01644
score_0,K11782
score_0,K02437
score_0,K03293
score_0,K02117
score_0,K02109
score_0,K21498
score_0,K13040
score_0,K08167
score_0,K08314
score_0,K02926
score_0,K15584
score_0,K01914
score_0,K06877
score_0,K16148
score_0,K12452
score_0,K11144
score_0,K19955
score_0,K03651
score_0,K07393
score_0,K12660
score_0,K03313
score_0,K01194
score_0,K22457
score_0,K01246
score_0,K01297
score_0,K02240
score_0,K00851
score_0,K01227
score_0,K13038
score_0,K05685
score_0,K07133
score_0,K00858
score_0,K01710
score_0,K01654
score_0,K09117
score_0,K02074
score_0,K11617
score_0,K04565
score_0,K22606
score_0,K12997
score_0,K19429
score_0,K02428
score_0,K17836
score_0,K15586
score_0,K13571
score_0,K01858
score_0,K16301
score_0,K02348
score_0,K15778
score_0,K11068
score_0,K02000
score_0,K19125
score_0,K03274
score_0,K01709
score_0,K01916
score_0,K02120
score_0,K08281
score_0,K00784
score_0,K12661
score_0,K13640
score_0,K12733
score_0,K17947
score_0,K01104
score_0,K00772
score_0,K01273
score_0,K01755
score_0,K02035
score_0,K13787
score_0,K10986
score_0,K02601
score_0,K23518
score_0,K02232
score_0,K03932
score_0,K02103
score_0,K02902
score_0,K06904
score_0,K11537
score_0,K13932
score_0,K00330
score_0,K02652
score_0,K03471
score_0,K02666
score_0,K08372
score_0,K19803
score_0,K04516
score_0,K16651
score_0,K14445
score_0,K06193
score_0,K23270
score_0,K11934
score_0,K18348
score_0,K19168
score_0,K19124
score_0,K01815
score_0,K02124
score_0,K03834
score_0,K02049
score_0,K00030
score_0,K15921
score_0,K23257
score_0,K14379
score_0,K01844
score_0,K01355
score_0,K00198
score_0,K08999
score_0,K03473
score_0,K00681
score_0,K18345
score_0,K09973
score_0,K02099
score_0,K01590
score_0,K07017
score_0,K01791
score_0,K01026
score_0,K03444
score_0,K02815
score_0,K03544
score_0,K06284
score_0,K18197
score_0,K03196
score_0,K22432
score_0,K00697
score_0,K21556
score_0,K02528
score_0,K20037
score_0,K04026
score_0,K01841
score_0,K03558
score_0,K23182
score_0,K15899
score_0,K21557
score_0,K03534
score_0,K15524
score_0,K18891
score_0,K11927
score_0,K02687
score_0,K01678
score_0,K02316
score_0,K00647
score_0,K22906
score_0,K01304
score_0,K01599
score_0,K12373
score_0,K01885
score_0,K18012
score_0,K13049
score_0,K03367
score_0,K02824
score_0,K15855
score_0,K21567
score_0,K17241
score_0,K07304
score_0,K06391
score_0,K01612
score_0,K17246
score_0,K01635
score_0,K17245
score_0,K22441
score_0,K03833
