feature,importance_sum,importance_mean,freq_top20,weighted_score,dataset,selected
% DN in total MAIT d6,0.026128131461130497,0.0021773442884275413,1.0,0.018110640655582207,immune,False
% CD8+ RO+ CCR7+ d0,0.0260610680998656,0.0021717556749888,1.0,0.01806415587580257,immune,False
% CD8+ RO+ Va7.2- total INFg+ d6,0.026019375511441598,0.002168281292620133,1.0,0.018035256775686227,immune,False
% CD4+ RO+ IL-22+ IL-17- d1,0.0259289956013717,0.0021607496334476416,1.0,0.017972610195842016,immune,False
viable CD8+ MAIT d6,0.0257495781740888,0.0021457981811740666,1.0,0.017848247511977555,immune,False
% CD4+ M total CXCR3+ d0,0.025606415820273398,0.002133867985022783,1.0,0.017749014930068086,immune,False
% CD8+ in total MAIT d6,0.025605763674552195,0.0021338136395460164,1.0,0.01774856289710012,immune,False
% CD8+ INFg+ TNFa+ d1 P13,0.0255776883999161,0.0021314740333263416,1.0,0.017729102599642665,immune,False
% DN RO- CCR6- total INFg+ d1,0.025352641646441798,0.002112720137203483,1.0,0.01757311207697778,immune,False
% CD8+ RO+ CCR6+ IL-17+ INFg- d1,0.0252548433439271,0.0021045702786605916,1.0,0.01750532345932617,immune,False
% viable CD3- CCR6- GzA- INFg+ d1,0.0251773316009839,0.0020981109667486584,1.0,0.017451596413244803,immune,False
% CD8+ M CCR6+ CXCR3+ d0,0.024926408063302596,0.002077200671941883,1.0,0.01727766947056488,immune,False
% CD8+ RO- CCR6- IL4+ GMCSF- d1,0.024808087422242,0.002067340618520167,1.0,0.017195655851811684,immune,False
% CD8+ MAIT total INFg+ d6,0.0247452769913264,0.0020621064159438668,1.0,0.01715211897871278,immune,False
% CD8+ RO- CCR6- total TNFa+ d1,0.024543942173664096,0.002045328514472008,1.0,0.017012564317501602,immune,False
% CD8+ M CCR6- CXCR3+ d0,0.0242858519901642,0.00202382099918035,1.0,0.01683366983447845,immune,False
% CD8+ INFg- TNFa+ d1 P13,0.0233545546556518,0.0019462128879709833,1.0,0.01618814371279819,immune,False
% CD8+ M CCR4- CXCR3+ d0,0.0233118535339898,0.0019426544611658167,1.0,0.016158545550711428,immune,False
%CD8+ MAIT d0,0.0232855409662183,0.0019404617471848584,1.0,0.01614030706854732,immune,False
% CD8+ MAIT INFg+ TNFa+ d6,0.023282458119501,0.0019402048432917499,1.0,0.016138170202037123,immune,False
% CD4+ RO+ FOXP3+ INFg- TNFa+ IL-17- d1,0.0231895837762704,0.0019324653146891998,1.0,0.016073794612880474,immune,False
% CD4+ INFg+ TNFa- d6,0.0228534570976777,0.0019044547581398084,1.0,0.015840809353302968,immune,False
% CD8+ RO+ CCR6+ IL-17- INFg+ d1,0.022330527631121495,0.0018608773025934578,1.0,0.015478342267927818,immune,False
% CD8+ and DN MAIT,0.0223126001627666,0.0018593833468972167,1.0,0.015465915893783046,immune,False
% CD4+ RO+ total IL-17+ d6,0.0222207936940224,0.0018517328078352,1.0,0.015402280498815838,immune,False
% CD8+ total TNFa+ d1,0.0218923053982538,0.0018243587831878166,1.0,0.015174589762756891,immune,False
% DN RO- CCR6- INFg+ TNFa+ d1,0.0216385468421533,0.0018032122368461083,1.0,0.014998697735052868,immune,False
% CD4+ RO+ CD161- total IL-17+ d6,0.0215513816145659,0.0017959484678804916,1.0,0.014938279403307794,immune,False
% CD4+ RO+ d6,0.020646681351245602,0.0017205567792704668,1.0,0.014311188966535491,immune,False
% CD4+ RO+/- CD27+ CD161- INFg+ d1,0.0202941851839372,0.0016911820986614335,1.0,0.014066857242007486,immune,False
% CD4+ RO+ CD27+ (TCM) d0,0.019207314962142,0.0016006095801785,1.0,0.013313496212135581,immune,False
% CD4+ RO+ CCR7+ d0,0.0189223100411923,0.0015768591700993583,1.0,0.013115945854733585,immune,False
% CD8+ RO+ CCR6+ IL-17+ INFg+ d1,0.0177630692606417,0.0014802557717201415,1.0,0.012312421376104825,immune,False
% CD4+ M CXCR5+ CCR7+ d0,0.0172370432057032,0.0014364202671419335,1.0,0.011947807899223135,immune,False
NK % CD56+ CD16+,0.03188729604804599,0.0026572746706704994,0.0,0.0,immune,False
% CD8+ M total CCR6+ d0,0.0318326938179051,0.002652724484825425,0.0,0.0,immune,False
NK % CD56lo CD16-,0.0287906373073439,0.002399219775611992,0.0,0.0,immune,False
% CD4+ RO+ INFg+ TNFa+ d1,0.0282682644022008,0.0023556887001834003,0.0,0.0,immune,False
CD4:CD8 d6,0.026306621278071197,0.0021922184398392663,0.0,0.0,immune,False
% DN RO+ CCR6- INFg+ TNFa- d1,0.0258346508688736,0.0021528875724061334,0.0,0.0,immune,False
% CD8+ MAIT IL-17- INFg+ d6,0.0254833504899618,0.0021236125408301497,0.0,0.0,immune,False
% CD8+ RO- Va7.2- total TNFa+ d6,0.025404009285683298,0.0021170007738069417,0.0,0.0,immune,False
CD4+ CCR6+ as % of RO+,0.0251725865393754,0.00209771554494795,0.0,0.0,immune,False
% CD4+ RO+ FOXP3+ INFg- TNFa- IL-17+ d1,0.0249370239688791,0.002078085330739925,0.0,0.0,immune,False
% CD8+ RO+ CCR6- total TNFa+ d1,0.0248001992199887,0.0020666832683323916,0.0,0.0,immune,False
% CD8+ RO- CCR7- d0,0.024178032963001,0.0020148360802500834,0.0,0.0,immune,False
% CD4+ RO+ CCR6- total INFg+ d1,0.023744511729344504,0.0019787093107787087,0.0,0.0,immune,False
% CD8+ nonMAIT INFg+ GzA- d1,0.023431677629795603,0.001952639802482967,0.0,0.0,immune,False
% CD8+ RO+ CD27- d0,0.023382257203027803,0.0019485214335856502,0.0,0.0,immune,False
% CD4+ M CXCR5- CCR7+ d0,0.0233616292484982,0.00194680243737485,0.0,0.0,immune,False
