score,feature
score_1,oleoyl-linoleoyl-glycerol (18:1/18:2) [1]
score_1,N-palmitoyl-heptadecasphingosine (d17:1/16:0)*
score_1,6-bromotryptophan
score_1,alpha-tocopherol
score_1,"glycosyl ceramide (d18:1/20:0, d16:1/22:0)*"
score_1,N-acetyl-aspartyl-glutamate (NAAG)
score_1,beta-hydroxyisovalerate
score_1,X-13553
score_1,undecenoylcarnitine (C11:1)
score_1,arachidonoylcarnitine (C20:4)
score_1,4-ethylphenylsulfate
score_1,1-stearoyl-2-arachidonoyl-GPI (18:0/20:4)
score_1,1-(1-enyl-palmitoyl)-2-linoleoyl-GPE (P-16:0/18:2)*
score_1,behenoyl sphingomyelin (d18:1/22:0)*
score_1,X-18913
score_1,thyroxine
score_1,X-21339
score_1,1-palmitoyl-2-oleoyl-GPE (16:0/18:1)
score_1,1-(1-enyl-palmitoyl)-2-arachidonoyl-GPC (P-16:0/20:4)*
score_1,4-allylphenol sulfate
score_1,theophylline
score_1,1-stearoyl-2-oleoyl-GPS (18:0/18:1)
score_1,4-guanidinobutanoate
score_1,hexadecadienoate (16:2n6)
score_1,indolepropionate
score_1,"branched-chain, straight-chain, or cyclopropyl 10:1 fatty acid (1)*"
score_1,X-11787
score_1,N-acetylglucosamine/N-acetylgalactosamine
score_1,"sphingomyelin (d18:1/17:0, d17:1/18:0, d19:1/16:0)"
score_1,taurolithocholate 3-sulfate
score_1,choline phosphate
score_1,decadienedioic acid (C10:2-DC)**
score_1,dihydroorotate
score_1,N-acetylputrescine
score_1,dihomo-linolenoylcarnitine (C20:3n3 or 6)*
score_1,cystine
score_1,phytanate
score_1,"sphingomyelin (d18:1/20:0, d16:1/22:0)*"
score_1,3-hydroxydecanoylcarnitine
score_1,4-hydroxyhippurate
score_1,"sphingomyelin (d18:1/24:1, d18:2/24:0)*"
score_1,linoleoyl-linoleoyl-glycerol (18:2/18:2) [2]*
score_1,carnitine
score_1,dodecenedioate (C12:1-DC)*
score_1,glutamine conjugate of C6H10O2 (2)*
score_1,4-vinylphenol sulfate
score_1,methylsuccinate
score_1,2-hydroxydecanoate
score_1,"hydroxy-N6,N6,N6-trimethyllysine*"
score_1,glutamine conjugate of C6H10O2 (1)*
score_1,1-stearoyl-2-oleoyl-GPC (18:0/18:1)
